Root,Expertise,MappedExpertise,Actors,Count
Expertise,"Instruments, Assessment, and Measures",Cyber-enhanced/Computer-assisted assessments,Jodi Asbell-Clarke,
Expertise,Disciplinary Areas,Computational thinking,Jodi Asbell-Clarke,
Expertise,Learning Environments and Platforms,Games and game making,Jodi Asbell-Clarke,
Expertise,Equity and Social Justice,Inclusive/universal design,Jodi Asbell-Clarke,
Expertise,Other Domains,Neuroscience and analytics,Richard Gerkin,
Expertise,Learning Processes and Theories,Neuroscience,Richard Gerkin,
Expertise,Other Domains,Physiological sciences,Richard Gerkin,
Expertise,Learning Processes and Theories,Collaborative and/or participatory learning,Dustin Thoman,
Expertise,Learning Processes and Theories,Identity,Dustin Thoman,
Expertise,Equity and Social Justice,Social welfare development and responsibility,Dustin Thoman,
Expertise,Equity and Social Justice,Community partnerships,Dustin Thoman,
Expertise,Learning Processes and Theories,Self-regulation reflection and metacognition,Dustin Thoman,
Expertise,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Bruce McLaren,
Expertise,Learning Environments and Platforms,Games and game making,Bruce McLaren,
Expertise,Pedagogical Approaches and Processes,Inquiry learning (e.g. project/problem based learning),Janet Bowers,
Expertise,Disciplinary Areas,Math education,Janet Bowers,
Expertise,Capacity Building,Instructional Design,Janet Bowers,
Expertise,Capacity Building,Pedagogy,Janet Bowers,
Expertise,Capacity Building,Workforce development,Raffaella Borasi,
Expertise,Disciplinary Areas,Math education,Raffaella Borasi,
Expertise,Capacity Building,Educator professional learning,Raffaella Borasi,
Expertise,Disciplinary Areas,Computer science education,Tamar Fuhrmann,
Expertise,Equity and Social Justice,Cultural competence/responsiveness,Tamar Fuhrmann,
Expertise,Equity and Social Justice,Community partnerships,Tamar Fuhrmann,
Expertise,Equity and Social Justice,Ethics,Tamar Fuhrmann,
Expertise,AI Approaches and Technologies,Machine learning,Carl Vondrick,
Expertise,AI Approaches and Technologies,Computer vision technologies,Carl Vondrick,
Expertise,Analytics,Learning analytics,Nigel Bosch,
Expertise,AI Approaches and Technologies,Bias and equity in AI,Nigel Bosch,
Expertise,Research Methods,HCI,Nigel Bosch,
Expertise,Analytics,Multimodal data analysis,Leslie Neely,
Expertise,Capacity Building,Workforce development,Leslie Neely,
Expertise,Equity and Social Justice,Inclusive/universal design,Leslie Neely,
Expertise,Other Domains,Software engineering,Sergiu Dascalu,
Expertise,Learning Environments and Platforms,Narrative and simulated environments,Sergiu Dascalu,
Expertise,Learning Processes and Theories,Neuroscience,Sergiu Dascalu,
Expertise,Research Methods,HCI,Sergiu Dascalu,
Expertise,Analytics,Data mining,Sergiu Dascalu,
Expertise,Learning Environments and Platforms,Augmented/virtual/mixed reality,Sergiu Dascalu,
Expertise,Analytics,Data visualization representations and dashboards,Sergiu Dascalu,
Expertise,Disciplinary Areas,Science education,Danielle Oprean,
Expertise,Analytics,Data mining,Danielle Oprean,
Expertise,Learning Environments and Platforms,Augmented/virtual/mixed reality,Danielle Oprean,
Expertise,Learning Environments and Platforms,Games and game making,Danielle Oprean,
Expertise,Analytics,Learning analytics,Xiaojin Zhu,
Expertise,AI Approaches and Technologies,Machine learning,Xiaojin Zhu,
Expertise,Equity and Social Justice,Social welfare development and responsibility,Xiaojin Zhu,
Expertise,Analytics,Behavior analysis,Xiaojin Zhu,
Expertise,Learning Environments and Platforms,Wearable / physiological technology,Rebecca Vieyra,
Expertise,Capacity Building,Educator professional learning,Rebecca Vieyra,
Expertise,Other Domains,Software engineering,Chrystian Vieyra,
Expertise,Other Domains,Environmental Science,Daniel O'Brien,
Expertise,Disciplinary Areas,Science education,Daniel O'Brien,
Expertise,Disciplinary Areas,Engineering education,Daniel O'Brien,
Expertise,Other Domains,Energy,Daniel O'Brien,
Expertise,Capacity Building,Policy,Daniel O'Brien,
Expertise,Capacity Building,Educator professional learning,Kangwon Seo,
Expertise,AI Approaches and Technologies,Machine learning,Kangwon Seo,
Expertise,Analytics,Learning analytics,Kangwon Seo,
Expertise,Analytics,Multimodal data analysis,Kangwon Seo,
Expertise,Other Domains,Software engineering,Kangwon Seo,
Expertise,AI Approaches and Technologies,Bias and equity in AI,Kangwon Seo,
Expertise,Analytics,Learning analytics,Leping Liu,
Expertise,Equity and Social Justice,Mental health,Leping Liu,
Expertise,Capacity Building,Instructional Design,Leping Liu,
Expertise,Analytics,Learning analytics,Li-Ting Chen,
Expertise,"Instruments, Assessment, and Measures",Cyber-enhanced/Computer-assisted assessments,Li-Ting Chen,
Expertise,Learning Environments and Platforms,Online learning,Li-Ting Chen,
Expertise,Other Domains,Health,Li-Ting Chen,
Expertise,Disciplinary Areas,Engineering education,Ying Yang,
Expertise,"Instruments, Assessment, and Measures",Cyber-enhanced/Computer-assisted assessments,Kathy Ewoldt,
Expertise,Equity and Social Justice,Inclusive/universal design,Kathy Ewoldt,
Expertise,Disciplinary Areas,ELA education,Kathy Ewoldt,
Expertise,Equity and Social Justice,Accessibility and technology,Kathy Ewoldt,
Expertise,Research Methods,Quantitative methods,Amanda Olsen,
Expertise,Analytics,Learning analytics,Jiebo Luo,
Expertise,AI Approaches and Technologies,Machine learning,Jiebo Luo,
Expertise,AI Approaches and Technologies,AI,Jiebo Luo,
Expertise,Analytics,Data mining,Jiebo Luo,
Expertise,Learning Processes and Theories,Media use,Jiebo Luo,
Expertise,Disciplinary Areas,Science education,Michael Daley,
Expertise,Disciplinary Areas,Math education,Michael Daley,
Expertise,Disciplinary Areas,Engineering education,Michael Daley,
Expertise,Research Methods,Human-AI Interaction,Byron Lahey,
Expertise,Learning Processes and Theories,Embodied learning and cognition,Byron Lahey,
Expertise,Research Methods,HCI,Byron Lahey,
Expertise,Pedagogical Approaches and Processes,Inquiry learning (e.g. project/problem based learning),Christy Spackman,
Expertise,Other Domains,Physiological sciences,Christy Spackman,
Expertise,Equity and Social Justice,Broadening participation of historically marginalized groups,Christy Spackman,
Expertise,Capacity Building,Instructional Design,Philip Yasskin,
Expertise,Equity and Social Justice,Cultural competence/responsiveness,Philip Yasskin,
Expertise,Other Domains,Physics,Philip Yasskin,
Expertise,AI Approaches and Technologies,Pedagogical agents,Philip Yasskin,
Expertise,Disciplinary Areas,Science education,Philip Yasskin,
Expertise,Disciplinary Areas,Math education,Philip Yasskin,
Expertise,Disciplinary Areas,Engineering education,Philip Yasskin,
Expertise,Other Domains,Mathematical sciences,Philip Yasskin,
Expertise,AI Approaches and Technologies,Machine learning,Dezhen Song,
Expertise,AI Approaches and Technologies,Computer vision technologies,Dezhen Song,
Expertise,AI Approaches and Technologies,Robots,Dezhen Song,
Expertise,Learning Processes and Theories,Cognitive psychology / Cognitive science,Heather Burte,
Expertise,Disciplinary Areas,Science education,Heather Burte,
Expertise,Disciplinary Areas,Math education,Heather Burte,
Expertise,Disciplinary Areas,Engineering education,Heather Burte,
Expertise,Capacity Building,Educator professional learning,Chelsea Lyles,
Expertise,Capacity Building,Policy,Chelsea Lyles,
Expertise,Learning Environments and Platforms,Informal settings,Phyllis Newbill,
Expertise,Other Domains,Autonomous technology,Myounghoon Jeon,
Expertise,Equity and Social Justice,Accessibility and technology,Myounghoon Jeon,
Expertise,Analytics,Multimodal data analysis,Myounghoon Jeon,
Expertise,Learning Processes and Theories,Creativity,Myounghoon Jeon,
Expertise,Other Domains,Physiological sciences,Myounghoon Jeon,
Expertise,Research Methods,Human-AI Interaction,Myounghoon Jeon,
Expertise,Learning Environments and Platforms,Interactive Displays,Myounghoon Jeon,
Expertise,Research Methods,Survey measure,Jeff Rosen,
Expertise,Equity and Social Justice,Inclusive/universal design,Jeff Rosen,
Expertise,Learning Processes and Theories,Social emotional learning,Jeff Rosen,
Expertise,Analytics,Graphics,Roxanne Moore,
Expertise,Analytics,Data mining,Ken Koedinger,
Expertise,AI Approaches and Technologies,AI,Ken Koedinger,
Expertise,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Ken Koedinger,
Expertise,Research Methods,Learning Engineering,Ken Koedinger,
